arch,seed,transform,severity,auroc,auprc,sensitivity,specificity,balanced_accuracy,f1,brier,nll,ece
efficientnet_b0,42,contrast,1,0.9830554061323292,0.981594191702065,0.9822485207100592,0.9181818181818182,0.9502151694459386,0.9651162790697676,0.03699945123198966,0.31047138576315736,0.038588981764177445
efficientnet_b0,42,contrast,2,0.9799892415277031,0.9800124356823939,0.9940828402366864,0.7818181818181819,0.8879505110274342,0.9307479224376731,0.07955980960081291,0.5130838426544695,0.08600621309138062
efficientnet_b0,42,contrast,3,0.9615115653577192,0.967779544052408,0.9940828402366864,0.42727272727272725,0.7106777837547068,0.84,0.2021642354946182,1.4096216823303198,0.2206196262364319
efficientnet_b0,123,contrast,1,0.9853146853146852,0.9843068816023717,0.9763313609467456,0.9181818181818182,0.9472565895642819,0.9620991253644314,0.03851192921522547,0.3083685824372423,0.03858059764786303
efficientnet_b0,123,contrast,2,0.9839698762775685,0.9836209333969157,0.9881656804733728,0.8545454545454545,0.9213555675094136,0.9488636363636365,0.05566048070263937,0.4006840824198375,0.05875726959561283
efficientnet_b0,123,contrast,3,0.9615653577192038,0.9577900038958844,1.0,0.5727272727272728,0.7863636363636364,0.877922077922078,0.1541234369993115,1.356945330579205,0.17106419247591798
efficientnet_b0,456,contrast,1,0.9899946207638515,0.9901446440692324,0.9644970414201184,0.9272727272727272,0.9458848843464228,0.9588235294117646,0.038210889815420625,0.25514810800456017,0.03894788329906788
efficientnet_b0,456,contrast,2,0.9811188811188811,0.9816433197236876,0.9822485207100592,0.7727272727272727,0.8774878967186659,0.9222222222222223,0.08086953173693796,0.5570976420319296,0.08210998938809481
efficientnet_b0,456,contrast,3,0.9509144701452393,0.9530764342394927,0.9940828402366864,0.34545454545454546,0.6697686928456159,0.8215158924205379,0.2336411555606271,1.7967152550974548,0.2488593631774508
efficientnet_b0,789,contrast,1,0.9881387842926305,0.9891982899004721,0.9881656804733728,0.8636363636363636,0.9259010220548682,0.9515669515669516,0.05429973306499205,0.37462094149456016,0.062192319747975185
efficientnet_b0,789,contrast,2,0.9791823561054331,0.977625769565469,0.9940828402366864,0.7454545454545455,0.8697686928456159,0.9205479452054794,0.09566831794174979,0.6752897492152411,0.10411681282070326
efficientnet_b0,789,contrast,3,0.9569661108122646,0.9523629599793612,1.0,0.5454545454545454,0.7727272727272727,0.8711340206185566,0.170032831494649,1.4994831006873757,0.19040219066497668
efficientnet_b0,2026,contrast,1,0.9871436256051641,0.9921193150840154,0.9704142011834319,0.9272727272727272,0.9488434642280796,0.9618768328445748,0.04272494535026156,0.2697631129293198,0.04364117480293715
efficientnet_b0,2026,contrast,2,0.969768692845616,0.9706892477142248,0.9822485207100592,0.7636363636363637,0.8729424421732115,0.9196675900277008,0.09038216685600098,0.5788285322577426,0.10037222448869952
efficientnet_b0,2026,contrast,3,0.9320871436256052,0.932751073943771,0.9940828402366864,0.2727272727272727,0.6334050564819795,0.8057553956834531,0.27711873431241774,2.371622886063659,0.2916106798395675
swin_tiny,42,contrast,1,0.9908552985476062,0.9935550585534311,0.9881656804733728,0.9272727272727272,0.95771920387305,0.9709302325581396,0.03277253619856539,0.1274775726814508,0.03164511052791468
swin_tiny,42,contrast,2,0.9802044109736417,0.9852987989301087,0.9940828402366864,0.6272727272727273,0.8106777837547068,0.8888888888888888,0.12242149016613692,0.4795134091419024,0.14254903414129783
swin_tiny,42,contrast,3,0.900161377084454,0.9263876507255877,1.0,0.08181818181818182,0.5409090909090909,0.7699316628701595,0.3257711860561367,1.5649987148390974,0.3468775025378632
swin_tiny,123,contrast,1,0.9952124798278645,0.9966747112832478,1.0,0.8909090909090909,0.9454545454545454,0.9657142857142856,0.03527514895400664,0.17268525538775767,0.042064274773068455
swin_tiny,123,contrast,2,0.9903173749327596,0.9931791995389302,1.0,0.8,0.9,0.9388888888888889,0.07134299875101832,0.39770594639951173,0.08570032682950783
swin_tiny,123,contrast,3,0.9040613232920924,0.9289330703014389,1.0,0.33636363636363636,0.6681818181818182,0.8223844282238443,0.2269554341056929,1.293588676616308,0.2576297541085537
swin_tiny,456,contrast,1,0.9948897256589564,0.99657621814451,0.9763313609467456,0.9363636363636364,0.956347498655191,0.967741935483871,0.027306059183021286,0.10591170009408715,0.029051450456702915
swin_tiny,456,contrast,2,0.9733727810650887,0.9796907339857035,0.9940828402366864,0.7818181818181819,0.8879505110274342,0.9307479224376731,0.07891852494995379,0.431483594743896,0.08841220645975043
swin_tiny,456,contrast,3,0.565196342119419,0.6585181395253398,1.0,0.06363636363636363,0.5318181818181819,0.7664399092970522,0.3617524077588044,2.624720680185299,0.366439767261987
swin_tiny,789,contrast,1,0.9917697686928456,0.9946577704120698,0.9940828402366864,0.8454545454545455,0.9197686928456159,0.9491525423728814,0.05346997236270379,0.2573194333607074,0.06329284026204042
swin_tiny,789,contrast,2,0.9692576654115115,0.9786438138689544,1.0,0.44545454545454544,0.7227272727272727,0.8471177944862155,0.19826373051955914,1.4045039745840104,0.21708555086298867
swin_tiny,789,contrast,3,0.5837278106508876,0.7104731812945306,1.0,0.0,0.5,0.7544642857142858,0.39277290935538967,4.338305481206229,0.3933351685069368
swin_tiny,2026,contrast,1,0.9967186659494353,0.9978608602427153,1.0,0.9272727272727272,0.9636363636363636,0.976878612716763,0.025100433705404254,0.09627687335136778,0.030704513075344244
swin_tiny,2026,contrast,2,0.9919311457772996,0.9946354445000849,1.0,0.8090909090909091,0.9045454545454545,0.9415041782729805,0.06150970961127618,0.22858215073596858,0.07487577710661199
swin_tiny,2026,contrast,3,0.9190962883270576,0.9304299899047753,1.0,0.2545454545454545,0.6272727272727272,0.8047619047619048,0.25012579484911807,1.0977136704258734,0.2825303993665189
