arch,seed,mask_condition,auroc,auprc,sensitivity,specificity,balanced_accuracy,f1,brier,nll,ece
efficientnet_b0,42,nonlung_blackout,0.6995427649273803,0.7423973586030489,1.0,0.00909090909090909,0.5045454545454545,0.756152125279642,0.3873038281839185,4.841916111175358,0.3898722740911668
efficientnet_b0,123,clean,0.9871974179666487,0.9850192994717475,0.9881656804733728,0.9363636363636364,0.9622646584185046,0.9737609329446064,0.028833683723389524,0.24771332142563948,0.03486033941754291
efficientnet_b0,123,lung_blackout,0.9477945131791286,0.9478796595590344,0.9940828402366864,0.4909090909090909,0.7424959655728887,0.8549618320610688,0.18290275834292397,1.5010508006363785,0.2003465238858455
efficientnet_b0,123,nonlung_blackout,0.7424152770306617,0.7557348869198243,1.0,0.02727272727272727,0.5136363636363637,0.7595505617977528,0.3831986956839118,5.328348421129608,0.38547341509531907
efficientnet_b0,456,clean,0.9909628832705755,0.9905422203189499,0.9822485207100592,0.9454545454545454,0.9638515330823023,0.9736070381231672,0.02816539349241164,0.19866814539255953,0.02986657273818785
efficientnet_b0,456,lung_blackout,0.969445938676708,0.9736877071347451,0.9881656804733728,0.7,0.8440828402366864,0.9051490514905149,0.11636116252484353,0.8304732598734554,0.11955527840749655
efficientnet_b0,456,nonlung_blackout,0.7676438945669715,0.7874004047871785,1.0,0.00909090909090909,0.5045454545454545,0.756152125279642,0.3904315198902428,4.939900977761405,0.3912675921207688
efficientnet_b0,789,clean,0.993491124260355,0.9959343413845609,0.9704142011834319,0.9545454545454546,0.9624798278644433,0.9704142011834319,0.031022524508612145,0.2353333909855136,0.032323362212294315
efficientnet_b0,789,lung_blackout,0.9228886498117267,0.9334777802305092,0.9822485207100592,0.36363636363636365,0.6729424421732114,0.8197530864197531,0.24071298081771544,2.036348502299871,0.2531785027834997
efficientnet_b0,789,nonlung_blackout,0.6163259817105972,0.6827511477957307,1.0,0.0,0.5,0.7544642857142858,0.3926150796655368,5.402331154128254,0.3938565892985218
efficientnet_b0,2026,clean,0.9880311995696611,0.9925044338061575,0.9763313609467456,0.9090909090909091,0.9427111350188273,0.9593023255813953,0.0428846689447329,0.28672786704011105,0.04093401300417105
efficientnet_b0,2026,lung_blackout,0.9490586336740183,0.9652143024172349,0.9585798816568047,0.7272727272727273,0.842926304464766,0.8975069252077563,0.11393912690738447,0.5645832084289945,0.11447949038725017
efficientnet_b0,2026,nonlung_blackout,0.6879236148466918,0.7363969443412894,1.0,0.0,0.5,0.7544642857142858,0.3886695264273691,3.6962358076771835,0.39149601207411844
swin_tiny,42,clean,0.9935449166218397,0.9954517688230058,0.9822485207100592,0.9545454545454546,0.9683969876277569,0.9764705882352941,0.023074620917083767,0.09155921426729553,0.019777282705283512
swin_tiny,42,lung_blackout,0.9812802582033351,0.9866387551408635,0.834319526627219,0.9636363636363636,0.8989779451317913,0.8980891719745223,0.08316690677273635,0.2907024848702419,0.09202968826898004
swin_tiny,42,nonlung_blackout,0.9254975793437332,0.9467758626495417,1.0,0.17272727272727273,0.5863636363636364,0.787878787878788,0.2712741441156062,0.9541105329111325,0.30443348488553446
swin_tiny,123,clean,0.9948359332974719,0.9966164155664237,0.9881656804733728,0.9363636363636364,0.9622646584185046,0.9737609329446064,0.028986962890102583,0.14005370462842018,0.030277117125449643
swin_tiny,123,lung_blackout,0.9838622915545993,0.9883501938651629,0.9526627218934911,0.9090909090909091,0.9308768154922,0.9470588235294118,0.04795404389180403,0.19870163539623356,0.03975876291886665
swin_tiny,123,nonlung_blackout,0.9317374932759549,0.9495298373703396,0.9940828402366864,0.15454545454545454,0.5743141473910705,0.7813953488372093,0.2941561501198077,1.4320397165658412,0.32167649594900005
swin_tiny,456,clean,0.9939214631522324,0.9957734861274885,0.9704142011834319,0.9454545454545454,0.9579343733189887,0.967551622418879,0.02912834153877883,0.12703932857783898,0.032188835050610286
swin_tiny,456,lung_blackout,0.9820333512641204,0.9868405549896437,0.9526627218934911,0.9181818181818182,0.9354222700376547,0.9498525073746312,0.05184298448224155,0.2505931624760967,0.05407054023984089
swin_tiny,456,nonlung_blackout,0.9548682087143626,0.9676866489960968,1.0,0.17272727272727273,0.5863636363636364,0.787878787878788,0.29435368783150184,1.4529854512613953,0.3212867113744914
swin_tiny,789,clean,0.9949973103819257,0.9966979954075417,0.9940828402366864,0.9454545454545454,0.969768692845616,0.979591836734694,0.02607915675535594,0.1352471973647606,0.03095388695544239
swin_tiny,789,lung_blackout,0.9817105970952125,0.9884024568395436,0.9881656804733728,0.7727272727272727,0.8804464766003228,0.925207756232687,0.07443442641686908,0.30517495433876285,0.07336522396119798
swin_tiny,789,nonlung_blackout,0.9561054330285099,0.9720158291871772,1.0,0.24545454545454545,0.6227272727272727,0.8028503562945368,0.24972634235746574,1.144047496170408,0.28809928504155957
swin_tiny,2026,clean,0.9960193652501346,0.9973741873686384,1.0,0.9363636363636364,0.9681818181818183,0.9797101449275363,0.027157534318162584,0.12100565865499785,0.03597561920839476
swin_tiny,2026,lung_blackout,0.9855836471221087,0.9907724356230776,0.9763313609467456,0.8636363636363636,0.9199838622915546,0.9455587392550143,0.05271446813008184,0.18483130293566855,0.04094426903212747
swin_tiny,2026,nonlung_blackout,0.9458310919849381,0.9633535151946753,0.9940828402366864,0.3090909090909091,0.6515868746637977,0.8135593220338982,0.20521200889155083,0.6510295590462443,0.2506313462304386
